
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        512 K
Registry                       120 Services                   0     42,644 K
smss.exe                       532 Services                   0        224 K
csrss.exe                      752 Services                   0      1,656 K
wininit.exe                    840 Services                   0         36 K
csrss.exe                      848 Console                    1      2,672 K
services.exe                   912 Services                   0      5,200 K
lsass.exe                      920 Services                   0     11,552 K
winlogon.exe                  1000 Console                    1      2,068 K
svchost.exe                    452 Services                   0        884 K
svchost.exe                    632 Services                   0     22,268 K
fontdrvhost.exe                668 Console                    1      1,576 K
fontdrvhost.exe                676 Services                   0        224 K
svchost.exe                   1044 Services                   0     13,160 K
svchost.exe                   1096 Services                   0      3,908 K
dwm.exe                       1164 Console                    1     56,948 K
svchost.exe                   1316 Services                   0      1,852 K
svchost.exe                   1324 Services                   0      4,840 K
svchost.exe                   1376 Services                   0      8,256 K
svchost.exe                   1428 Services                   0      4,584 K
svchost.exe                   1440 Services                   0      1,208 K
svchost.exe                   1448 Services                   0      2,032 K
svchost.exe                   1640 Services                   0      4,872 K
svchost.exe                   1668 Services                   0      8,948 K
svchost.exe                   1740 Services                   0      1,984 K
svchost.exe                   1788 Services                   0      7,440 K
svchost.exe                   1816 Services                   0      3,500 K
svchost.exe                   1916 Services                   0      4,396 K
svchost.exe                   2028 Services                   0      4,836 K
NVDisplay.Container.exe       1592 Services                   0      5,548 K
svchost.exe                   2076 Services                   0     10,044 K
svchost.exe                   2116 Services                   0      5,012 K
svchost.exe                   2124 Services                   0      1,436 K
svchost.exe                   2132 Services                   0      1,488 K
Memory Compression            2228 Services                   0  1,219,924 K
svchost.exe                   2268 Services                   0      2,820 K
svchost.exe                   2312 Services                   0      1,924 K
svchost.exe                   2324 Services                   0      3,016 K
NVDisplay.Container.exe       2528 Console                    1      9,424 K
svchost.exe                   2660 Services                   0      6,440 K
svchost.exe                   2752 Services                   0     14,292 K
svchost.exe                   2780 Services                   0      2,228 K
svchost.exe                   2788 Services                   0      4,656 K
svchost.exe                   2796 Services                   0      4,168 K
svchost.exe                   2964 Services                   0      3,504 K
svchost.exe                   3040 Services                   0      6,528 K
svchost.exe                   1604 Services                   0      2,068 K
AvastSvc.exe                  2376 Services                   0    202,312 K
sihost.exe                    3224 Console                    1     18,144 K
svchost.exe                   3248 Console                    1     16,768 K
svchost.exe                   3348 Console                    1     27,276 K
svchost.exe                   3360 Services                   0      9,952 K
taskhostw.exe                 3452 Console                    1     12,204 K
svchost.exe                   3648 Services                   0      1,268 K
ctfmon.exe                    3676 Console                    1     14,100 K
spoolsv.exe                   3828 Services                   0        844 K
svchost.exe                   3896 Services                   0     11,376 K
svchost.exe                   3960 Services                   0      2,848 K
explorer.exe                  3280 Console                    1    159,884 K
svchost.exe                   4188 Services                   0      6,356 K
svchost.exe                   4200 Services                   0      2,612 K
svchost.exe                   4208 Services                   0     10,332 K
svchost.exe                   4216 Services                   0     25,252 K
svchost.exe                   4232 Services                   0        636 K
svchost.exe                   4240 Services                   0      1,376 K
svchost.exe                   4256 Services                   0      9,772 K
svchost.exe                   4264 Services                   0      1,420 K
svchost.exe                   4272 Services                   0     32,908 K
NvTelemetryContainer.exe      4316 Services                   0      7,028 K
nvcontainer.exe               4368 Services                   0      3,820 K
svchost.exe                   4484 Services                   0      7,072 K
svchost.exe                   4596 Services                   0      3,316 K
svchost.exe                   4656 Services                   0      8,092 K
dasHost.exe                   4664 Services                   0      2,476 K
MBAMService.exe               4716 Services                   0    214,548 K
svchost.exe                   4752 Services                   0      2,956 K
svchost.exe                   4836 Services                   0      1,100 K
Plex Update Service.exe       4844 Services                   0        140 K
svchost.exe                   5336 Console                    1     22,980 K
svchost.exe                   5760 Services                   0      3,240 K
svchost.exe                   6076 Services                   0      2,600 K
svchost.exe                   1312 Services                   0      2,872 K
svchost.exe                    428 Console                    1     20,132 K
nvcontainer.exe               6552 Console                    1      5,884 K
nvcontainer.exe               6564 Console                    1     18,892 K
svchost.exe                   6792 Services                   0      3,876 K
SearchIndexer.exe             6876 Services                   0     48,352 K
